,Level-1-text,Module-text,Sub-Process-text,Level 1 Process,Module,Sub Process,Num_words_Level-1-text,Num_words_Module-text,Num_words_Sub-Process-text,Level 1 Process-Code,Module-Code,Sub Process-Code
1207,r2r uncashed check : generate reminder notification program to vendors for checks not cashed over six months from the date of issue ----------------------------------------------------------------------,vendorinvoicing&ap r2r uncashed check : generate reminder notification program to vendors for checks not cashed over six months from the date of issue ----------------------------------------------------------------------,ap vendorinvoicing&ap r2r uncashed check : generate reminder notification program to vendors for checks not cashed over six months from the date of issue ----------------------------------------------------------------------,vendorinvoicing&ap,ap,payable&outgoingpayments,23,24,25,15,1,25
1208,r2r nan purpose: this program is used for migrating gl balances for previous fiscal year,generalaccountingconsolidation&reporting r2r nan purpose: this program is used for migrating gl balances for previous fiscal year,fi generalaccountingconsolidation&reporting r2r nan purpose: this program is used for migrating gl balances for previous fiscal year,generalaccountingconsolidation&reporting,fi,generalaccounting,15,16,17,6,16,14
1209,r2r interface to send invoice balance to third party system bpa & zfar_i_invoice_balance & &--------------------------------------------------------------------- title : interface to send invoice balance information,customerinvoicing&ar(mbil) r2r interface to send invoice balance to third party system bpa & zfar_i_invoice_balance & &--------------------------------------------------------------------- title : interface to send invoice balance information,ar customerinvoicing&ar(mbil) r2r interface to send invoice balance to third party system bpa & zfar_i_invoice_balance & &--------------------------------------------------------------------- title : interface to send invoice balance information,customerinvoicing&ar(mbil),ar,reporting,23,24,25,3,6,33
1210,r2r control report for interface 755 & : capital accounting also requires a control report to determine what information should have been sent to sap from interface 755. this report will be used for audit s ----------------------------------------------------------------------,fixedasset&projectaccounting r2r control report for interface 755 & : capital accounting also requires a control report to determine what information should have been sent to sap from interface 755. this report will be used for audit s ----------------------------------------------------------------------,ps fixedasset&projectaccounting r2r control report for interface 755 & : capital accounting also requires a control report to determine what information should have been sent to sap from interface 755. this report will be used for audit s ----------------------------------------------------------------------,fixedasset&projectaccounting,ps,capitalprojectaccounting,37,38,39,4,33,7
1211,"r2r nan purpose: this program updates prices for cost center and activity type combinations. initially the program was designed to create parallel sessions based on the number of availa- -ble work processes. but apparantly the activity alloc- -ation program cannot be run in parallel or in other words, we will run into lock issues, if we try to upda- -te the different activities for the same cost object (in our case cost center). there are numerous oss notes explaining the locks for the activity/cost center combo issue 79634, 644364, 940407 to name a few. because of this we just divide the data into smaller packets and process it (to avoid memory issues).","managementcostaccounting r2r nan purpose: this program updates prices for cost center and activity type combinations. initially the program was designed to create parallel sessions based on the number of availa- -ble work processes. but apparantly the activity alloc- -ation program cannot be run in parallel or in other words, we will run into lock issues, if we try to upda- -te the different activities for the same cost object (in our case cost center). there are numerous oss notes explaining the locks for the activity/cost center combo issue 79634, 644364, 940407 to name a few. because of this we just divide the data into smaller packets and process it (to avoid memory issues).","co managementcostaccounting r2r nan purpose: this program updates prices for cost center and activity type combinations. initially the program was designed to create parallel sessions based on the number of availa- -ble work processes. but apparantly the activity alloc- -ation program cannot be run in parallel or in other words, we will run into lock issues, if we try to upda- -te the different activities for the same cost object (in our case cost center). there are numerous oss notes explaining the locks for the activity/cost center combo issue 79634, 644364, 940407 to name a few. because of this we just divide the data into smaller packets and process it (to avoid memory issues).",managementcostaccounting,co,costaccounting&control,112,113,114,8,10,8
1212,"r2r check extract creation in rfchkn10, company code is now a select option","vendorinvoicing&ap r2r check extract creation in rfchkn10, company code is now a select option","ap vendorinvoicing&ap r2r check extract creation in rfchkn10, company code is now a select option",vendorinvoicing&ap,ap,vendormaintenance,13,14,15,15,1,39
1213,r2r misc billing journal entry report : this report will provide the information needed for the misc billing department to make the correcting journal entries for the damage claim process as well as the partially billable/partially expense process. -----------------------------------------------------------------,customerinvoicing&ar(mbil) r2r misc billing journal entry report : this report will provide the information needed for the misc billing department to make the correcting journal entries for the damage claim process as well as the partially billable/partially expense process. -----------------------------------------------------------------,ar customerinvoicing&ar(mbil) r2r misc billing journal entry report : this report will provide the information needed for the misc billing department to make the correcting journal entries for the damage claim process as well as the partially billable/partially expense process. -----------------------------------------------------------------,customerinvoicing&ar(mbil),ar,reporting,39,40,41,3,6,33
1214,r2r international payment medium - check (with check management) header ----------------------------------------------------------------------,vendorinvoicing&ap r2r international payment medium - check (with check management) header ----------------------------------------------------------------------,ap vendorinvoicing&ap r2r international payment medium - check (with check management) header ----------------------------------------------------------------------,vendorinvoicing&ap,ap,payable&outgoingpayments,11,12,13,15,1,25
1215,r2r sales: adobe print program & zmsd_sdoc_print01 &--------------------------------------------------------------------- & print program for sales documents &--------------------------------------------------------------------- ----------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r sales: adobe print program & zmsd_sdoc_print01 &--------------------------------------------------------------------- & print program for sales documents &--------------------------------------------------------------------- ----------------------------------------------------------------------,sd customerinvoicing&ar(mbil) r2r sales: adobe print program & zmsd_sdoc_print01 &--------------------------------------------------------------------- & print program for sales documents &--------------------------------------------------------------------- ----------------------------------------------------------------------,customerinvoicing&ar(mbil),sd,customerinvoicing,16,17,18,3,41,10
1216,r2r international payment medium - payment orders by edi header ----------------------------------------------------------------------,vendorinvoicing&ap r2r international payment medium - payment orders by edi header ----------------------------------------------------------------------,ap vendorinvoicing&ap r2r international payment medium - payment orders by edi header ----------------------------------------------------------------------,vendorinvoicing&ap,ap,payable&outgoingpayments,11,12,13,15,1,25
1217,"r2r cashed checks short description of the program:this displays an classic alv and heirarchy alv's appended to it and finally another classical alv for displaying the statistics. fm's used 'reuse_alv_list_display', classic alv 'reuse_alv_hierseq_list_display' heirarchy alv strcutures created: fagl_s_rfebck00_list1, ""file details fagl_s_rfebck00_list2, ""check header fagl_s_rfebck00_list2_detail ""check detail fagl_s_rfebck00_stats ""statistics fagl_s_rfebck00_post ""posting header fagl_s_rfebck00_postdet ""posting detail fagl_s_rfebck00_hr ""hr checks posting  modification history  description : clone changes for upgrade transport : ed3k913172 date : 07/07/2016 changed by : fvtwc   description : hanatization changes(order by primary key added in select statement) transport : ed3k915615 date : 03/04/2017 changed by : t0a2f   description : hanatization changes (select single is possibly not unique) transport : ed3k915615 date : 04/04/2017 changed by : j00vz   description : clone changes transport : ed3k915615 date : 06/04/2017 changed by : f7ucg   mod# date racf# details 005 11/27/2018 xg0dq im# im02200326 charm# 6000006402 tr# ed3k923816 desc: if732check encash mail notification ","vendorinvoicing&ap r2r cashed checks short description of the program:this displays an classic alv and heirarchy alv's appended to it and finally another classical alv for displaying the statistics. fm's used 'reuse_alv_list_display', classic alv 'reuse_alv_hierseq_list_display' heirarchy alv strcutures created: fagl_s_rfebck00_list1, ""file details fagl_s_rfebck00_list2, ""check header fagl_s_rfebck00_list2_detail ""check detail fagl_s_rfebck00_stats ""statistics fagl_s_rfebck00_post ""posting header fagl_s_rfebck00_postdet ""posting detail fagl_s_rfebck00_hr ""hr checks posting  modification history  description : clone changes for upgrade transport : ed3k913172 date : 07/07/2016 changed by : fvtwc   description : hanatization changes(order by primary key added in select statement) transport : ed3k915615 date : 03/04/2017 changed by : t0a2f   description : hanatization changes (select single is possibly not unique) transport : ed3k915615 date : 04/04/2017 changed by : j00vz   description : clone changes transport : ed3k915615 date : 06/04/2017 changed by : f7ucg   mod# date racf# details 005 11/27/2018 xg0dq im# im02200326 charm# 6000006402 tr# ed3k923816 desc: if732check encash mail notification ","ap vendorinvoicing&ap r2r cashed checks short description of the program:this displays an classic alv and heirarchy alv's appended to it and finally another classical alv for displaying the statistics. fm's used 'reuse_alv_list_display', classic alv 'reuse_alv_hierseq_list_display' heirarchy alv strcutures created: fagl_s_rfebck00_list1, ""file details fagl_s_rfebck00_list2, ""check header fagl_s_rfebck00_list2_detail ""check detail fagl_s_rfebck00_stats ""statistics fagl_s_rfebck00_post ""posting header fagl_s_rfebck00_postdet ""posting detail fagl_s_rfebck00_hr ""hr checks posting  modification history  description : clone changes for upgrade transport : ed3k913172 date : 07/07/2016 changed by : fvtwc   description : hanatization changes(order by primary key added in select statement) transport : ed3k915615 date : 03/04/2017 changed by : t0a2f   description : hanatization changes (select single is possibly not unique) transport : ed3k915615 date : 04/04/2017 changed by : j00vz   description : clone changes transport : ed3k915615 date : 06/04/2017 changed by : f7ucg   mod# date racf# details 005 11/27/2018 xg0dq im# im02200326 charm# 6000006402 tr# ed3k923816 desc: if732check encash mail notification ",vendorinvoicing&ap,ap,payable&outgoingpayments,149,150,151,15,1,25
1218,r2r payroll accrual posting : this program is to read cats (cross application time sheet) data and create data for accrual posting -----------------------------------------------------------------,generalaccountingconsolidation&reporting r2r payroll accrual posting : this program is to read cats (cross application time sheet) data and create data for accrual posting -----------------------------------------------------------------,gl generalaccountingconsolidation&reporting r2r payroll accrual posting : this program is to read cats (cross application time sheet) data and create data for accrual posting -----------------------------------------------------------------,generalaccountingconsolidation&reporting,gl,generalaccounting,23,24,25,6,17,14
1219,r2r aggregated accrual of unposted transactions (multiple expense lines) & : xponential accrual program &---------------------------------------------------------------------,vendorinvoicing&ap r2r aggregated accrual of unposted transactions (multiple expense lines) & : xponential accrual program &---------------------------------------------------------------------,ap vendorinvoicing&ap r2r aggregated accrual of unposted transactions (multiple expense lines) & : xponential accrual program &---------------------------------------------------------------------,vendorinvoicing&ap,ap,vendorinvoicing,15,16,17,15,1,38
1220,r2r display index file data : display index file data ----------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r display index file data : display index file data ----------------------------------------------------------------------,sd customerinvoicing&ar(mbil) r2r display index file data : display index file data ----------------------------------------------------------------------,customerinvoicing&ar(mbil),sd,customerinvoicing,11,12,13,3,41,10
1221,r2r create appropriation request & report zr2r_create_app_req &,fixedasset&projectaccounting r2r create appropriation request & report zr2r_create_app_req &,im fixedasset&projectaccounting r2r create appropriation request & report zr2r_create_app_req &,fixedasset&projectaccounting,im,projectaccountingforenvironmentalremediation,8,9,10,4,22,30
1222,"r2r escalation rates maintainence main screen : the main screen will have a button that takes the users to one of the three areas of the workbench (maintain indexes, maintain escalation rates and maintain recurring agreements) ----------------------------------------------------------------------","customerinvoicing&ar(mbil) r2r escalation rates maintainence main screen : the main screen will have a button that takes the users to one of the three areas of the workbench (maintain indexes, maintain escalation rates and maintain recurring agreements) ----------------------------------------------------------------------","sd customerinvoicing&ar(mbil) r2r escalation rates maintainence main screen : the main screen will have a button that takes the users to one of the three areas of the workbench (maintain indexes, maintain escalation rates and maintain recurring agreements) ----------------------------------------------------------------------",customerinvoicing&ar(mbil),sd,customerinvoicing,37,38,39,3,41,10
1223,r2r generic control total report : this program is used to geerate the generic general report -----------------------------------------------------------------,fixedasset&projectaccounting r2r generic control total report : this program is used to geerate the generic general report -----------------------------------------------------------------,ps fixedasset&projectaccounting r2r generic control total report : this program is used to geerate the generic general report -----------------------------------------------------------------,fixedasset&projectaccounting,ps,capitalprojectaccounting,17,18,19,4,33,7
1224,r2r rpms ar payment data to sap zfari_rpms_ar_payment_data r2r - rpms - ar payment data -fromsap provide rpms with a file to deliver payroll data ----------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r rpms ar payment data to sap zfari_rpms_ar_payment_data r2r - rpms - ar payment data -fromsap provide rpms with a file to deliver payroll data ----------------------------------------------------------------------,ar customerinvoicing&ar(mbil) r2r rpms ar payment data to sap zfari_rpms_ar_payment_data r2r - rpms - ar payment data -fromsap provide rpms with a file to deliver payroll data ----------------------------------------------------------------------,customerinvoicing&ar(mbil),ar,accountsreceivable&incomingpayments,26,27,28,3,6,3
1225,r2r mass reverse duplicate invoice & zar2rr_duplicate_invoice_mr8m creation date: 02/01/2012 description: this program will mass reverse invoice documents transaction: n/a output: none ---------------------------------------------------------------------------------------------------,vendorinvoicing&ap r2r mass reverse duplicate invoice & zar2rr_duplicate_invoice_mr8m creation date: 02/01/2012 description: this program will mass reverse invoice documents transaction: n/a output: none ---------------------------------------------------------------------------------------------------,ap vendorinvoicing&ap r2r mass reverse duplicate invoice & zar2rr_duplicate_invoice_mr8m creation date: 02/01/2012 description: this program will mass reverse invoice documents transaction: n/a output: none ---------------------------------------------------------------------------------------------------,vendorinvoicing&ap,ap,vendorinvoicing,23,24,25,15,1,38
1226,"r2r duplicate invoice report & : this program will do a comparison between documents of the & specific fields. when these fields are equal, & the document needs to be flagged as & potential duplicate and be included in the report. &---------------------------------------------------------------------","vendorinvoicing&ap r2r duplicate invoice report & : this program will do a comparison between documents of the & specific fields. when these fields are equal, & the document needs to be flagged as & potential duplicate and be included in the report. &---------------------------------------------------------------------","ap vendorinvoicing&ap r2r duplicate invoice report & : this program will do a comparison between documents of the & specific fields. when these fields are equal, & the document needs to be flagged as & potential duplicate and be included in the report. &---------------------------------------------------------------------",vendorinvoicing&ap,ap,vendorinvoicing,42,43,44,15,1,38
1227,r2r upload remittance details in the payment advice & zr2r_payment_advice_ & &--------------------------------------------------------------------- mass upload of advance payment used bdc call transaction method to upload fbe2 advance payment entry ----------------------------------------------------------------------,vendorinvoicing&ap r2r upload remittance details in the payment advice & zr2r_payment_advice_ & &--------------------------------------------------------------------- mass upload of advance payment used bdc call transaction method to upload fbe2 advance payment entry ----------------------------------------------------------------------,ap vendorinvoicing&ap r2r upload remittance details in the payment advice & zr2r_payment_advice_ & &--------------------------------------------------------------------- mass upload of advance payment used bdc call transaction method to upload fbe2 advance payment entry ----------------------------------------------------------------------,vendorinvoicing&ap,ap,payable&outgoingpayments,29,30,31,15,1,25
1228,"r2r transfer vendor master data from source company code: send der rfbikr10 sucht gemäss der selektion die zu extrahierenden quelldaten aus dem kreditorenstamm und schreibt sie im batch-input vorformat in die interne tabelle file1. 1) daten direkt übertragen: die daten von file1 werden in das globale memory geschrieben und der rfbikr20 aufgerufen. dieser überträgt die daten in die selektierten buchungskreise. 2) daten auf sequentielle datei schreiben die daten von file1 werden in die sequentielle datei ds_name geschrieben. ruft der anwender nun rfbikr20 auf und gibt ds_name ein, kann er die daten in verschiedene andere buchungskreise übertragen. hinweis: hiermit besteht die möglichkeit, daten auch in externe buchungskreise zu übertragen. bei diesem verfahren werden auch die allgemeinen daten mitübertragen. in externe buchungskreise können allerdings nur kreditoren übertragen werden, deren kontengruppe mit externer nummernvergabe arbeitet. ---------------------------------------------------------------------- title transfer vendor master data from source company code: send ---------------------------------------------------------------------- ---------------------------------------------------------------------- program description: -------------------------------------------------------------------- change history of alv development 07/05/2004 : retrofit program description: if create log is cheked in the selection screen,logs will be displayed as per the selection. function modules used are reuse_alv_list_display ""to display list reuse_alv_fieldcatalog_merge "" to get field catalog reuse_alv_events_get ""to get possible table of events bal_log_create ""to create application log bal_log_msg_add ""to add messages to the application log bal_dsp_log_display ""to display application log bal_dsp_log_print "" to display application log in batch mode --------------------------------------------------------------------- ---------------------------------------------------- description : clone changes for upgrade transport : ed3k913172 date : 12/07/2016 changed by : gjhra ---------------------------------------------------- ---------------------------------------------------- description : actual parameter change transport : ed3k915615 date : 30/03/2017 changed by : j00vz ---------------------------------------------------- ---------------------------------------------------- description : clone changes for upgrade transport : ed3k915659 date : 05/04/2017 changed by : f7ucg ---------------------------------------------------- ------ standard-rahmentexte für selektionsbild ------------------------ begin of clone changes by gjhra tr#ed3k913172 12/07/2016 include zfap_rfdbrmac. ""not deleted , but clone as it is same as standard","vendorinvoicing&ap r2r transfer vendor master data from source company code: send der rfbikr10 sucht gemäss der selektion die zu extrahierenden quelldaten aus dem kreditorenstamm und schreibt sie im batch-input vorformat in die interne tabelle file1. 1) daten direkt übertragen: die daten von file1 werden in das globale memory geschrieben und der rfbikr20 aufgerufen. dieser überträgt die daten in die selektierten buchungskreise. 2) daten auf sequentielle datei schreiben die daten von file1 werden in die sequentielle datei ds_name geschrieben. ruft der anwender nun rfbikr20 auf und gibt ds_name ein, kann er die daten in verschiedene andere buchungskreise übertragen. hinweis: hiermit besteht die möglichkeit, daten auch in externe buchungskreise zu übertragen. bei diesem verfahren werden auch die allgemeinen daten mitübertragen. in externe buchungskreise können allerdings nur kreditoren übertragen werden, deren kontengruppe mit externer nummernvergabe arbeitet. ---------------------------------------------------------------------- title transfer vendor master data from source company code: send ---------------------------------------------------------------------- ---------------------------------------------------------------------- program description: -------------------------------------------------------------------- change history of alv development 07/05/2004 : retrofit program description: if create log is cheked in the selection screen,logs will be displayed as per the selection. function modules used are reuse_alv_list_display ""to display list reuse_alv_fieldcatalog_merge "" to get field catalog reuse_alv_events_get ""to get possible table of events bal_log_create ""to create application log bal_log_msg_add ""to add messages to the application log bal_dsp_log_display ""to display application log bal_dsp_log_print "" to display application log in batch mode --------------------------------------------------------------------- ---------------------------------------------------- description : clone changes for upgrade transport : ed3k913172 date : 12/07/2016 changed by : gjhra ---------------------------------------------------- ---------------------------------------------------- description : actual parameter change transport : ed3k915615 date : 30/03/2017 changed by : j00vz ---------------------------------------------------- ---------------------------------------------------- description : clone changes for upgrade transport : ed3k915659 date : 05/04/2017 changed by : f7ucg ---------------------------------------------------- ------ standard-rahmentexte für selektionsbild ------------------------ begin of clone changes by gjhra tr#ed3k913172 12/07/2016 include zfap_rfdbrmac. ""not deleted , but clone as it is same as standard","ap vendorinvoicing&ap r2r transfer vendor master data from source company code: send der rfbikr10 sucht gemäss der selektion die zu extrahierenden quelldaten aus dem kreditorenstamm und schreibt sie im batch-input vorformat in die interne tabelle file1. 1) daten direkt übertragen: die daten von file1 werden in das globale memory geschrieben und der rfbikr20 aufgerufen. dieser überträgt die daten in die selektierten buchungskreise. 2) daten auf sequentielle datei schreiben die daten von file1 werden in die sequentielle datei ds_name geschrieben. ruft der anwender nun rfbikr20 auf und gibt ds_name ein, kann er die daten in verschiedene andere buchungskreise übertragen. hinweis: hiermit besteht die möglichkeit, daten auch in externe buchungskreise zu übertragen. bei diesem verfahren werden auch die allgemeinen daten mitübertragen. in externe buchungskreise können allerdings nur kreditoren übertragen werden, deren kontengruppe mit externer nummernvergabe arbeitet. ---------------------------------------------------------------------- title transfer vendor master data from source company code: send ---------------------------------------------------------------------- ---------------------------------------------------------------------- program description: -------------------------------------------------------------------- change history of alv development 07/05/2004 : retrofit program description: if create log is cheked in the selection screen,logs will be displayed as per the selection. function modules used are reuse_alv_list_display ""to display list reuse_alv_fieldcatalog_merge "" to get field catalog reuse_alv_events_get ""to get possible table of events bal_log_create ""to create application log bal_log_msg_add ""to add messages to the application log bal_dsp_log_display ""to display application log bal_dsp_log_print "" to display application log in batch mode --------------------------------------------------------------------- ---------------------------------------------------- description : clone changes for upgrade transport : ed3k913172 date : 12/07/2016 changed by : gjhra ---------------------------------------------------- ---------------------------------------------------- description : actual parameter change transport : ed3k915615 date : 30/03/2017 changed by : j00vz ---------------------------------------------------- ---------------------------------------------------- description : clone changes for upgrade transport : ed3k915659 date : 05/04/2017 changed by : f7ucg ---------------------------------------------------- ------ standard-rahmentexte für selektionsbild ------------------------ begin of clone changes by gjhra tr#ed3k913172 12/07/2016 include zfap_rfdbrmac. ""not deleted , but clone as it is same as standard",vendorinvoicing&ap,ap,vendormaintenance,302,303,304,15,1,39
1229,r2r program to send ar agreement details to rpms & zfar_rpms_ar_agreementdetails & this program will send agreement details to rpms ------------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r program to send ar agreement details to rpms & zfar_rpms_ar_agreementdetails & this program will send agreement details to rpms ------------------------------------------------------------------------,ar customerinvoicing&ar(mbil) r2r program to send ar agreement details to rpms & zfar_rpms_ar_agreementdetails & this program will send agreement details to rpms ------------------------------------------------------------------------,customerinvoicing&ar(mbil),ar,accountsreceivable&incomingpayments,21,22,23,3,6,3
1230,r2r diesel fuel taxes paid on edi invoices : this program is to identify diesel fuel taxes paid via edi invoices based on sac codes. this report will help to identify the specific diesel fuel taxes paid at the month end to the vendor. -----------------------------------------------------------------,vendorinvoicing&ap r2r diesel fuel taxes paid on edi invoices : this program is to identify diesel fuel taxes paid via edi invoices based on sac codes. this report will help to identify the specific diesel fuel taxes paid at the month end to the vendor. -----------------------------------------------------------------,ap vendorinvoicing&ap r2r diesel fuel taxes paid on edi invoices : this program is to identify diesel fuel taxes paid via edi invoices based on sac codes. this report will help to identify the specific diesel fuel taxes paid at the month end to the vendor. -----------------------------------------------------------------,vendorinvoicing&ap,ap,vendorinvoicing,45,46,47,15,1,38
